num_robots,t,elapsed,state,objects,target,coverage
2,7.01,0.96,exploring,0,5,4.39
2,8.01,1.96,exploring,0,5,4.39
2,9.01,2.96,exploring,0,5,4.39
2,10.01,3.96,exploring,0,5,4.39
2,11.02,4.96,exploring,0,5,4.39
2,12.02,5.96,exploring,0,5,4.39
2,13.01,6.96,exploring,0,5,4.39
2,14.01,7.96,exploring,0,5,4.39
2,15.01,8.96,exploring,0,5,4.39
2,16.01,9.96,exploring,0,5,4.39
2,17.02,10.96,exploring,0,5,4.39
2,18.01,11.96,exploring,0,5,4.39
2,19.01,12.96,exploring,0,5,4.39
2,20.01,13.96,exploring,0,5,4.39
2,21.01,14.96,exploring,0,5,16.08
2,22.01,15.96,exploring,0,5,16.08
2,23.01,16.96,exploring,0,5,16.08
2,24.01,17.96,exploring,0,5,16.08
2,25.01,18.96,exploring,0,5,16.08
2,26.01,19.96,exploring,0,5,31.85
2,27.01,20.96,exploring,0,5,31.85
2,28.01,21.96,exploring,0,5,31.85
2,29.01,22.96,exploring,0,5,31.85
2,30.01,23.96,exploring,2,5,31.85
2,31.01,24.96,exploring,2,5,48.24
2,32.01,25.96,exploring,2,5,48.24
2,33.01,26.96,exploring,2,5,57.21
2,34.01,27.96,exploring,2,5,57.21
2,35.01,28.96,exploring,2,5,57.21
2,36.01,29.96,exploring,2,5,60.80
2,37.01,30.96,exploring,2,5,60.80
2,38.01,31.96,exploring,2,5,53.84
2,39.01,32.96,exploring,2,5,53.84
2,40.01,33.96,exploring,2,5,53.84
2,41.01,34.96,exploring,2,5,56.45
2,42.01,35.96,exploring,2,5,56.45
2,43.01,36.96,exploring,2,5,56.45
2,44.01,37.96,exploring,2,5,56.45
2,45.01,38.96,exploring,2,5,56.45
2,46.01,39.96,exploring,2,5,58.66
2,47.01,40.96,exploring,2,5,58.66
2,48.01,41.96,exploring,2,5,58.66
2,49.01,42.96,exploring,2,5,58.66
2,50.01,43.96,exploring,2,5,58.66
2,51.01,44.96,exploring,2,5,58.66
2,52.01,45.96,exploring,2,5,58.66
2,53.01,46.96,exploring,2,5,58.66
2,54.01,47.96,exploring,2,5,58.66
2,55.01,48.96,exploring,2,5,58.66
2,56.01,49.96,exploring,2,5,58.66
2,57.01,50.96,exploring,2,5,58.66
2,58.01,51.96,exploring,2,5,58.66
2,59.01,52.96,exploring,2,5,58.66
2,60.01,53.96,exploring,2,5,58.66
2,61.01,54.96,exploring,2,5,58.66
2,62.01,55.96,exploring,2,5,58.66
2,63.01,56.96,exploring,2,5,58.66
2,64.01,57.96,exploring,2,5,58.66
2,65.01,58.96,exploring,2,5,58.66
2,66.01,59.96,exploring,2,5,58.66
2,67.01,60.96,exploring,2,5,58.66
2,68.01,61.96,exploring,2,5,58.66
2,69.01,62.96,exploring,2,5,58.66
2,70.01,63.96,exploring,2,5,58.66
2,71.01,64.96,exploring,2,5,58.66
2,72.01,65.96,exploring,2,5,58.66
2,73.01,66.96,exploring,2,5,58.66
2,74.01,67.96,exploring,2,5,58.66
2,75.01,68.96,exploring,2,5,58.66
2,76.01,69.96,exploring,2,5,58.66
2,77.01,70.96,exploring,2,5,58.66
2,78.01,71.96,exploring,2,5,58.66
2,79.01,72.96,exploring,2,5,58.66
2,80.01,73.96,exploring,2,5,58.66
2,81.01,74.96,exploring,2,5,60.94
2,82.01,75.96,exploring,2,5,60.94
2,83.01,76.96,exploring,2,5,60.94
2,84.01,77.96,exploring,2,5,60.94
2,85.01,78.96,exploring,2,5,60.94
2,86.01,79.96,exploring,2,5,60.94
2,87.01,80.96,exploring,2,5,60.94
2,88.01,81.96,exploring,2,5,60.94
2,89.01,82.96,exploring,2,5,60.94
2,90.01,83.96,exploring,2,5,60.94
2,91.01,84.96,exploring,2,5,60.94
2,92.01,85.96,exploring,2,5,60.94
2,93.01,86.96,exploring,2,5,60.94
2,94.01,87.96,exploring,2,5,60.94
2,95.01,88.96,exploring,2,5,60.94
2,96.01,89.96,exploring,2,5,71.08
2,97.01,90.96,exploring,2,5,71.08
2,98.01,91.96,exploring,2,5,71.08
2,99.01,92.96,exploring,2,5,71.08
2,100.01,93.96,exploring,2,5,71.08
2,101.01,94.96,exploring,2,5,71.45
2,102.01,95.96,exploring,2,5,71.45
2,103.01,96.96,exploring,2,5,71.45
2,104.01,97.96,exploring,2,5,71.45
2,105.01,98.96,exploring,2,5,71.45
2,106.01,99.96,exploring,2,5,89.11
2,107.01,100.96,exploring,2,5,89.11
2,108.01,101.96,exploring,2,5,89.11
2,109.01,102.96,exploring,2,5,89.11
2,110.01,103.96,exploring,2,5,89.11
2,111.01,104.96,exploring,2,5,89.65
2,112.01,105.96,exploring,2,5,89.65
2,113.01,106.96,exploring,2,5,89.65
2,114.01,107.96,exploring,2,5,89.65
2,115.01,108.96,exploring,2,5,89.65
2,116.01,109.96,exploring,2,5,90.96
2,117.01,110.96,returning,2,5,90.96
2,118.01,111.96,returning,2,5,90.96
2,119.01,112.96,returning,2,5,90.96
2,120.01,113.96,returning,2,5,90.96
2,121.01,114.96,returning,2,5,92.63
2,122.01,115.96,returning,2,5,92.63
2,123.01,116.96,returning,2,5,92.87
2,124.01,117.96,returning,2,5,92.87
2,125.01,118.96,returning,2,5,92.87
2,126.01,119.96,returning,2,5,93.75
