num_robots,t,elapsed,state,objects,target,coverage
3,7.14,0.95,exploring,0,5,5.45
3,8.14,1.95,exploring,0,5,5.45
3,9.14,2.95,exploring,0,5,5.45
3,10.14,3.95,exploring,0,5,5.45
3,11.14,4.95,exploring,0,5,5.45
3,12.14,5.95,exploring,0,5,5.45
3,13.14,6.95,exploring,0,5,5.45
3,14.14,7.95,exploring,0,5,5.45
3,15.14,8.95,exploring,0,5,5.45
3,16.14,9.95,exploring,0,5,5.45
3,17.14,10.95,exploring,0,5,5.45
3,18.14,11.95,exploring,0,5,5.45
3,19.14,12.96,exploring,0,5,5.45
3,20.14,13.95,exploring,0,5,5.45
3,21.14,14.95,exploring,0,5,5.45
3,22.14,15.95,exploring,0,5,5.45
3,23.14,16.95,exploring,0,5,5.45
3,24.14,17.96,exploring,0,5,5.45
3,25.14,18.96,exploring,0,5,5.45
3,26.14,19.95,exploring,0,5,5.45
3,27.14,20.96,exploring,0,5,5.45
3,28.14,21.95,exploring,0,5,5.45
3,29.14,22.95,exploring,0,5,5.45
3,30.14,23.95,exploring,0,5,5.45
3,31.14,24.95,exploring,0,5,29.02
3,32.14,25.95,exploring,0,5,29.02
3,33.14,26.96,exploring,0,5,29.02
3,34.14,27.95,exploring,1,5,29.02
3,35.14,28.95,exploring,1,5,29.02
3,36.14,29.95,exploring,1,5,40.65
3,37.14,30.95,exploring,1,5,40.65
3,38.14,31.95,exploring,2,5,40.65
3,39.14,32.95,exploring,2,5,40.65
3,40.14,33.95,exploring,2,5,40.65
3,41.14,34.95,exploring,2,5,44.35
3,42.14,35.95,exploring,2,5,44.35
3,43.14,36.95,exploring,2,5,44.35
3,44.14,37.95,exploring,2,5,44.35
3,45.14,38.95,exploring,3,5,44.35
3,46.14,39.95,exploring,4,5,44.91
3,47.14,40.95,exploring,4,5,44.91
3,48.14,41.95,exploring,4,5,44.91
3,49.14,42.95,exploring,4,5,44.91
3,50.14,43.95,exploring,4,5,44.91
3,51.14,44.95,exploring,4,5,52.04
3,52.14,45.96,exploring,4,5,52.04
3,53.14,46.95,exploring,4,5,52.04
3,54.14,47.95,exploring,4,5,52.04
3,55.14,48.95,exploring,4,5,52.04
3,56.14,49.95,exploring,4,5,64.63
3,57.14,50.95,exploring,4,5,64.63
3,58.14,51.95,exploring,4,5,64.63
3,59.14,52.95,exploring,4,5,64.63
3,60.14,53.95,exploring,4,5,64.63
3,61.14,54.95,exploring,4,5,70.70
3,62.14,55.95,exploring,4,5,70.70
3,63.14,56.95,exploring,4,5,70.70
3,64.14,57.95,exploring,4,5,70.70
3,65.14,58.95,exploring,4,5,70.70
3,66.14,59.95,exploring,4,5,70.70
3,67.14,60.95,exploring,4,5,70.70
3,68.14,61.95,exploring,4,5,70.70
3,69.14,62.95,exploring,4,5,70.70
3,70.14,63.95,exploring,4,5,70.70
3,71.14,64.95,exploring,4,5,70.70
3,72.14,65.95,exploring,4,5,70.70
3,73.14,66.95,exploring,4,5,70.70
3,74.14,67.95,exploring,4,5,70.70
3,75.14,68.95,exploring,4,5,70.70
3,76.14,69.95,exploring,4,5,75.30
3,77.14,70.95,exploring,4,5,75.30
3,78.14,71.95,exploring,4,5,75.30
3,79.14,72.95,exploring,4,5,75.30
3,80.14,73.95,exploring,4,5,75.30
3,81.14,74.95,exploring,4,5,79.72
3,82.14,75.95,exploring,4,5,79.72
3,83.14,76.95,exploring,4,5,79.72
3,84.14,77.95,exploring,4,5,79.72
3,85.14,78.95,exploring,4,5,79.72
3,86.14,79.95,exploring,4,5,80.09
3,87.14,80.95,exploring,4,5,80.09
3,88.14,81.95,exploring,4,5,80.09
3,89.14,82.95,exploring,4,5,80.09
3,90.14,83.95,exploring,4,5,80.09
3,91.14,84.95,exploring,4,5,80.58
3,92.14,85.95,exploring,4,5,80.58
3,93.14,86.95,exploring,4,5,80.58
3,94.14,87.95,exploring,4,5,80.58
3,95.14,88.95,exploring,4,5,80.58
3,96.14,89.95,exploring,4,5,80.58
3,97.14,90.95,exploring,4,5,80.58
3,98.14,91.95,exploring,4,5,80.58
3,99.14,92.95,exploring,4,5,80.58
3,100.14,93.95,exploring,4,5,80.58
3,101.14,94.95,exploring,4,5,81.06
3,102.14,95.95,exploring,4,5,81.06
3,103.14,96.95,exploring,4,5,81.06
3,104.14,97.95,exploring,4,5,81.06
3,105.14,98.95,exploring,4,5,81.06
3,106.14,99.95,exploring,4,5,81.06
3,107.14,100.95,exploring,4,5,81.06
3,108.14,101.95,exploring,4,5,81.06
3,109.14,102.95,exploring,4,5,81.06
3,110.14,103.95,exploring,4,5,81.06
3,111.14,104.95,exploring,4,5,81.06
