num_robots,t,elapsed,state,objects,target,coverage
1,6.90,0.98,exploring,0,5,4.42
1,7.90,1.98,exploring,0,5,4.42
1,8.90,2.98,exploring,0,5,4.42
1,9.90,3.98,exploring,0,5,4.42
1,10.90,4.98,exploring,0,5,4.42
1,11.90,5.98,exploring,0,5,4.42
1,12.90,6.98,exploring,0,5,4.42
1,13.90,7.98,exploring,0,5,4.42
1,14.90,8.98,exploring,0,5,4.42
1,15.90,9.98,exploring,0,5,4.42
1,16.90,10.98,exploring,0,5,4.42
1,17.90,11.98,exploring,0,5,4.42
1,18.90,12.98,exploring,0,5,4.42
1,19.90,13.98,exploring,0,5,4.42
1,20.90,14.98,exploring,0,5,31.90
1,21.90,15.98,exploring,0,5,31.90
1,22.90,16.98,exploring,0,5,31.90
1,23.90,17.98,exploring,0,5,31.90
1,24.90,18.98,exploring,0,5,31.90
1,25.90,19.98,exploring,0,5,42.50
1,26.90,20.98,exploring,0,5,42.50
1,27.90,21.98,exploring,0,5,42.50
1,28.90,22.98,exploring,0,5,42.50
1,29.90,23.98,exploring,0,5,42.50
1,30.90,24.98,exploring,0,5,54.29
1,31.90,25.98,exploring,0,5,54.29
1,32.90,26.98,exploring,0,5,54.29
1,33.90,27.98,exploring,0,5,54.29
1,34.90,28.98,exploring,0,5,54.29
1,35.90,29.98,exploring,1,5,58.16
1,36.90,30.98,exploring,1,5,58.16
1,37.90,31.98,exploring,1,5,58.16
1,38.90,32.98,exploring,1,5,58.16
1,39.90,33.98,exploring,1,5,58.16
1,40.90,34.98,exploring,1,5,62.23
1,41.90,35.98,exploring,1,5,62.23
1,42.90,36.98,exploring,1,5,62.23
1,43.90,37.98,exploring,1,5,62.23
1,44.90,38.98,exploring,1,5,62.23
1,45.90,39.98,exploring,1,5,62.23
1,46.90,40.98,exploring,1,5,62.23
1,47.90,41.98,exploring,1,5,62.23
1,48.90,42.98,exploring,1,5,62.23
1,49.90,43.98,exploring,1,5,62.23
1,50.90,44.98,exploring,1,5,66.45
1,51.90,45.98,exploring,1,5,66.45
1,52.90,46.98,exploring,1,5,66.45
1,53.90,47.98,exploring,1,5,66.45
1,54.90,48.98,exploring,1,5,66.45
1,55.90,49.98,exploring,1,5,75.68
1,56.90,50.98,exploring,1,5,75.68
1,57.90,51.98,exploring,1,5,75.68
1,58.90,52.98,exploring,2,5,75.68
1,59.90,53.98,exploring,2,5,75.68
1,60.90,54.98,exploring,2,5,77.77
1,61.90,55.98,exploring,2,5,77.77
1,62.90,56.98,exploring,2,5,77.77
1,63.90,57.98,exploring,2,5,77.77
1,64.90,58.98,exploring,2,5,77.77
1,65.90,59.98,exploring,2,5,78.22
1,66.90,60.98,exploring,2,5,78.22
1,67.90,61.98,exploring,2,5,78.22
1,68.90,62.98,exploring,2,5,78.22
1,69.90,63.98,exploring,2,5,78.22
1,70.90,64.98,exploring,2,5,78.45
1,71.90,65.98,exploring,2,5,78.45
1,72.90,66.98,exploring,2,5,78.45
1,73.90,67.98,exploring,2,5,78.45
1,74.90,68.98,exploring,2,5,78.45
1,75.90,69.98,exploring,2,5,78.77
1,76.90,70.98,exploring,2,5,78.77
1,77.90,71.98,exploring,2,5,78.77
1,78.90,72.98,exploring,2,5,78.77
1,79.90,73.98,exploring,2,5,78.77
1,80.90,74.98,exploring,2,5,79.20
1,81.90,75.98,exploring,2,5,79.20
1,82.90,76.98,exploring,2,5,79.20
1,83.90,77.98,exploring,2,5,79.20
1,84.90,78.98,exploring,2,5,79.20
1,85.90,79.98,exploring,2,5,79.20
1,86.90,80.98,exploring,2,5,79.20
1,87.90,81.98,exploring,2,5,79.20
1,88.90,82.98,exploring,2,5,79.20
1,89.90,83.98,exploring,2,5,79.20
1,90.90,84.98,exploring,2,5,79.20
1,91.90,85.98,exploring,2,5,79.20
1,92.90,86.98,exploring,2,5,79.20
1,93.90,87.98,exploring,2,5,79.20
1,94.90,88.98,exploring,2,5,79.20
1,95.90,89.98,exploring,2,5,79.20
1,96.90,90.98,exploring,2,5,79.20
1,97.90,91.98,exploring,2,5,79.20
1,98.90,92.98,exploring,2,5,79.20
1,99.90,93.98,exploring,2,5,79.20
1,100.90,94.98,exploring,2,5,79.20
1,101.90,95.98,exploring,2,5,79.20
1,102.90,96.98,exploring,2,5,79.20
1,103.90,97.98,exploring,2,5,79.20
1,104.90,98.98,exploring,2,5,79.20
1,105.90,99.98,exploring,2,5,79.20
