num_robots,t,elapsed,state,objects,target,coverage
5,7.41,0.92,exploring,0,5,3.58
5,8.41,1.92,exploring,0,5,3.58
5,9.41,2.92,exploring,0,5,3.58
5,10.41,3.92,exploring,0,5,3.58
5,11.42,4.92,exploring,0,5,3.58
5,12.41,5.92,exploring,0,5,3.58
5,13.41,6.92,exploring,0,5,3.58
5,14.41,7.92,exploring,0,5,3.58
5,15.41,8.92,exploring,0,5,3.58
5,16.41,9.92,exploring,0,5,3.58
5,17.41,10.92,exploring,0,5,3.58
5,18.41,11.92,exploring,0,5,3.58
5,19.42,12.93,exploring,0,5,3.58
5,20.41,13.92,exploring,0,5,3.58
5,21.41,14.92,exploring,0,5,3.58
5,22.41,15.92,exploring,0,5,3.58
5,23.41,16.92,exploring,0,5,3.58
5,24.41,17.92,exploring,0,5,3.58
5,25.41,18.92,exploring,0,5,3.58
5,26.41,19.92,exploring,0,5,3.58
5,27.41,20.92,exploring,0,5,3.58
5,28.41,21.92,exploring,0,5,3.58
5,29.41,22.92,exploring,0,5,3.58
5,30.41,23.92,exploring,0,5,3.58
5,31.41,24.92,exploring,0,5,3.58
5,32.41,25.92,exploring,0,5,3.58
5,33.41,26.92,exploring,1,5,8.82
5,34.41,27.92,exploring,1,5,8.82
5,35.41,28.92,exploring,1,5,8.82
5,36.41,29.92,exploring,1,5,8.82
5,37.41,30.92,exploring,1,5,8.82
5,38.41,31.92,exploring,1,5,8.82
5,39.41,32.92,exploring,1,5,8.82
5,40.41,33.92,exploring,1,5,8.82
5,41.41,34.92,exploring,1,5,8.82
5,42.41,35.92,exploring,1,5,8.82
5,43.41,36.92,exploring,1,5,8.82
5,44.42,37.93,exploring,1,5,8.82
5,45.41,38.92,exploring,1,5,8.82
5,46.41,39.92,exploring,1,5,8.82
5,47.41,40.92,exploring,1,5,8.82
5,48.41,41.92,exploring,1,5,16.40
5,49.41,42.92,exploring,1,5,16.40
5,50.41,43.92,exploring,1,5,16.40
5,51.41,44.92,exploring,1,5,16.40
5,52.41,45.92,exploring,1,5,16.40
5,53.41,46.92,exploring,1,5,16.40
5,54.41,47.92,exploring,1,5,16.40
5,55.41,48.92,exploring,1,5,16.40
5,56.41,49.92,exploring,1,5,16.40
5,57.41,50.92,exploring,1,5,16.40
5,58.42,51.92,exploring,2,5,16.40
5,59.41,52.92,exploring,2,5,16.40
5,60.41,53.92,exploring,2,5,16.40
5,61.41,54.92,exploring,2,5,16.40
5,62.41,55.92,exploring,2,5,16.40
5,63.41,56.92,exploring,2,5,16.40
5,64.41,57.92,exploring,2,5,16.40
5,65.41,58.92,exploring,2,5,16.40
5,66.41,59.92,exploring,2,5,16.40
5,67.41,60.92,exploring,2,5,16.40
5,68.41,61.92,exploring,2,5,16.40
5,69.41,62.92,exploring,2,5,16.40
5,70.41,63.92,exploring,2,5,16.40
5,71.41,64.92,exploring,2,5,16.40
5,72.41,65.92,exploring,2,5,16.40
5,73.42,66.92,exploring,2,5,22.78
5,74.41,67.92,exploring,2,5,22.78
5,75.41,68.92,exploring,2,5,22.78
5,76.42,69.93,exploring,2,5,22.78
5,77.41,70.92,exploring,2,5,22.78
5,78.41,71.92,exploring,2,5,26.25
5,79.41,72.92,exploring,2,5,26.25
5,80.41,73.92,exploring,2,5,26.25
5,81.41,74.92,exploring,2,5,26.25
5,82.41,75.92,exploring,2,5,26.25
5,83.42,76.93,exploring,2,5,26.25
5,84.41,77.92,exploring,2,5,26.25
5,85.41,78.93,exploring,2,5,26.25
5,86.41,79.93,exploring,2,5,26.25
5,87.41,80.92,exploring,2,5,26.25
5,88.41,81.92,exploring,2,5,26.53
5,89.41,82.92,exploring,2,5,26.53
5,90.41,83.92,exploring,2,5,26.53
5,91.41,84.92,exploring,2,5,26.53
5,92.41,85.92,exploring,2,5,26.53
5,93.41,86.92,exploring,2,5,26.53
5,94.41,87.92,exploring,2,5,26.53
5,95.41,88.92,exploring,2,5,26.53
5,96.41,89.92,exploring,2,5,26.53
5,97.41,90.92,exploring,2,5,26.53
5,98.41,91.92,exploring,2,5,26.41
5,99.41,92.92,exploring,2,5,26.41
5,100.41,93.92,exploring,2,5,26.41
5,101.41,94.92,exploring,2,5,26.41
5,102.41,95.92,exploring,2,5,26.41
5,103.41,96.92,exploring,2,5,27.52
5,104.41,97.92,exploring,2,5,27.52
5,105.41,98.92,exploring,2,5,27.52
5,106.41,99.92,exploring,2,5,27.52
5,107.41,100.92,exploring,2,5,27.52
5,108.41,101.92,exploring,2,5,27.52
5,109.41,102.92,exploring,2,5,27.52
5,110.41,103.92,exploring,2,5,27.52
5,111.41,104.92,exploring,2,5,27.52
5,112.41,105.92,exploring,2,5,27.52
5,113.41,106.93,exploring,2,5,27.52
5,114.42,107.93,exploring,2,5,27.52
5,115.41,108.92,exploring,2,5,27.52
5,116.41,109.93,exploring,2,5,27.52
5,117.43,110.92,exploring,2,5,27.52
5,118.41,111.92,exploring,2,5,27.52
5,119.41,112.92,exploring,2,5,27.52
5,120.41,113.92,exploring,2,5,27.52
5,121.41,114.92,exploring,2,5,27.52
5,122.41,115.92,exploring,2,5,27.52
5,123.41,116.92,exploring,2,5,27.52
5,124.41,117.92,exploring,2,5,27.52
5,125.41,118.92,exploring,2,5,27.52
5,126.41,119.92,exploring,2,5,27.52
5,127.41,120.92,exploring,2,5,27.52
5,128.41,121.92,exploring,2,5,26.93
5,129.41,122.92,exploring,2,5,26.93
5,130.41,123.93,exploring,2,5,26.93
5,131.42,124.92,exploring,2,5,26.93
