num_robots,t,elapsed,state,objects,target,coverage
1,7.33,0.95,exploring,0,5,4.42
1,8.32,1.95,exploring,0,5,4.42
1,9.32,2.95,exploring,0,5,4.42
1,10.32,3.95,exploring,0,5,4.42
1,11.33,4.95,exploring,0,5,4.42
1,12.32,5.95,exploring,0,5,4.42
1,13.33,6.95,exploring,0,5,4.42
1,14.33,7.95,exploring,0,5,4.42
1,15.33,8.95,exploring,0,5,4.42
1,16.32,9.95,exploring,0,5,15.78
1,17.33,10.95,exploring,0,5,15.78
1,18.33,11.95,exploring,0,5,15.78
1,19.32,12.95,exploring,0,5,15.78
1,20.33,13.95,exploring,0,5,15.78
1,21.32,14.95,exploring,0,5,31.58
1,22.32,15.95,exploring,0,5,31.58
1,23.32,16.95,exploring,0,5,31.58
1,24.32,17.95,exploring,0,5,31.58
1,25.32,18.95,exploring,0,5,31.58
1,26.32,19.95,exploring,0,5,42.26
1,27.32,20.95,exploring,0,5,42.26
1,28.32,21.95,exploring,0,5,42.26
1,29.32,22.95,exploring,0,5,42.26
1,30.32,23.95,exploring,0,5,42.26
1,31.32,24.95,exploring,0,5,56.00
1,32.32,25.95,exploring,1,5,56.00
1,33.32,26.95,exploring,1,5,56.00
1,34.32,27.95,exploring,1,5,56.00
1,35.32,28.95,exploring,1,5,56.00
1,36.32,29.95,exploring,1,5,59.83
1,37.32,30.95,exploring,1,5,59.83
1,38.32,31.95,exploring,1,5,59.83
1,39.32,32.95,exploring,1,5,59.83
1,40.32,33.95,exploring,1,5,59.83
1,41.32,34.95,exploring,1,5,59.83
1,42.32,35.95,exploring,1,5,59.83
1,43.32,36.95,exploring,1,5,59.83
1,44.33,37.95,exploring,1,5,59.83
1,45.32,38.95,exploring,1,5,59.83
1,46.32,39.95,exploring,1,5,59.83
1,47.32,40.95,exploring,1,5,59.83
1,48.32,41.95,exploring,1,5,59.83
1,49.33,42.95,exploring,1,5,59.83
1,50.32,43.95,exploring,1,5,59.83
1,51.32,44.95,exploring,1,5,59.83
1,52.32,45.95,exploring,1,5,59.83
1,53.32,46.95,exploring,1,5,59.83
1,54.32,47.95,exploring,1,5,59.83
1,55.33,48.95,exploring,1,5,59.83
1,56.32,49.95,exploring,1,5,59.83
1,57.33,50.95,exploring,1,5,59.83
1,58.32,51.95,exploring,1,5,59.83
1,59.32,52.95,exploring,1,5,59.83
1,60.33,53.95,exploring,1,5,59.83
1,61.32,54.95,exploring,1,5,59.83
1,62.33,55.95,exploring,1,5,59.83
1,63.33,56.95,exploring,1,5,59.83
1,64.32,57.95,exploring,1,5,59.83
1,65.32,58.95,exploring,1,5,59.83
1,66.32,59.95,exploring,1,5,59.83
1,67.32,60.95,exploring,1,5,59.83
1,68.32,61.95,exploring,1,5,59.83
1,69.32,62.95,exploring,1,5,59.83
1,70.32,63.95,exploring,1,5,59.83
1,71.32,64.95,exploring,1,5,59.83
1,72.33,65.95,exploring,1,5,59.83
1,73.32,66.95,exploring,1,5,59.83
1,74.32,67.95,exploring,1,5,59.83
1,75.32,68.95,exploring,1,5,59.83
1,76.32,69.95,exploring,1,5,59.83
1,77.32,70.95,exploring,2,5,59.83
1,78.33,71.95,exploring,2,5,59.83
1,79.32,72.95,exploring,2,5,59.83
1,80.32,73.95,exploring,2,5,59.83
1,81.33,74.95,exploring,2,5,70.06
1,82.33,75.95,exploring,2,5,70.06
1,83.32,76.95,exploring,2,5,70.06
1,84.33,77.95,exploring,2,5,70.06
