num_robots,t,elapsed,state,objects,target,coverage
5,7.44,0.93,exploring,0,5,4.49
5,8.44,1.93,exploring,0,5,4.49
5,9.44,2.94,exploring,0,5,4.49
5,10.44,3.93,exploring,0,5,4.49
5,11.44,4.94,exploring,0,5,4.49
5,12.44,5.93,exploring,0,5,4.49
5,13.44,6.93,exploring,0,5,4.49
5,14.44,7.93,exploring,0,5,4.49
5,15.45,8.94,exploring,0,5,4.49
5,16.44,9.93,exploring,0,5,4.49
5,17.44,10.93,exploring,0,5,4.49
5,18.44,11.94,exploring,0,5,4.49
5,19.44,12.94,exploring,0,5,4.49
5,20.44,13.93,exploring,0,5,4.49
5,21.46,14.93,exploring,0,5,4.49
5,22.44,15.93,exploring,0,5,4.49
5,23.44,16.93,exploring,0,5,4.49
5,24.44,17.94,exploring,0,5,4.49
5,25.44,18.93,exploring,0,5,4.49
5,26.44,19.93,exploring,0,5,4.49
5,27.44,20.94,exploring,0,5,4.49
5,28.44,21.93,exploring,0,5,4.49
5,29.44,22.93,exploring,0,5,4.49
5,30.44,23.93,exploring,0,5,4.49
5,31.44,24.94,exploring,0,5,4.49
5,32.45,25.93,exploring,0,5,4.49
5,33.44,26.93,exploring,0,5,4.49
5,34.44,27.93,exploring,1,5,4.49
5,35.44,28.93,exploring,1,5,10.80
5,36.44,29.93,exploring,1,5,10.80
5,37.44,30.93,exploring,1,5,10.80
5,38.44,31.93,exploring,1,5,10.80
5,39.44,32.93,exploring,1,5,10.80
5,40.44,33.93,exploring,1,5,10.80
5,41.44,34.93,exploring,1,5,10.80
5,42.44,35.94,exploring,1,5,10.80
5,43.44,36.93,exploring,1,5,10.80
5,44.44,37.93,exploring,1,5,10.80
5,45.44,38.94,exploring,1,5,10.80
5,46.44,39.93,exploring,1,5,10.80
5,47.44,40.94,exploring,1,5,10.80
5,48.44,41.94,exploring,1,5,10.80
5,49.44,42.93,exploring,1,5,10.80
5,50.44,43.93,exploring,1,5,18.11
5,51.44,44.93,exploring,1,5,18.11
5,52.44,45.94,exploring,1,5,18.11
5,53.44,46.93,exploring,1,5,18.11
5,54.44,47.93,exploring,1,5,18.11
5,55.44,48.93,exploring,1,5,24.39
5,56.44,49.93,exploring,2,5,24.39
5,57.44,50.93,exploring,2,5,24.39
5,58.44,51.93,exploring,2,5,24.39
5,59.44,52.93,exploring,2,5,24.39
5,60.44,53.93,exploring,2,5,24.39
5,61.44,54.93,exploring,2,5,24.39
