num_robots,t,elapsed,state,objects,target,coverage
3,7.06,0.97,exploring,0,5,5.28
3,8.11,1.97,exploring,0,5,5.28
3,9.05,2.97,exploring,0,5,5.28
3,10.05,3.97,exploring,0,5,5.28
3,11.06,4.97,exploring,0,5,5.28
3,12.06,5.97,exploring,0,5,5.28
3,13.06,6.97,exploring,0,5,5.28
3,14.05,7.97,exploring,0,5,5.28
3,15.09,8.97,exploring,0,5,5.28
3,16.05,9.97,exploring,0,5,5.28
3,17.06,10.97,exploring,0,5,5.28
3,18.09,12.01,exploring,0,5,5.28
3,19.08,12.97,exploring,0,5,5.28
3,20.05,13.97,exploring,0,5,5.28
3,21.06,14.97,exploring,0,5,5.28
3,22.09,15.97,exploring,0,5,5.28
3,23.06,16.97,exploring,0,5,5.28
3,24.06,17.97,exploring,0,5,5.28
3,25.05,18.97,exploring,0,5,5.28
3,26.05,19.97,exploring,0,5,5.28
3,27.06,20.97,exploring,0,5,5.28
3,28.06,21.97,exploring,0,5,5.28
3,29.06,22.97,exploring,0,5,5.28
3,30.06,23.97,exploring,0,5,5.28
3,31.05,24.97,exploring,0,5,5.28
3,32.06,25.97,exploring,0,5,5.28
3,33.06,26.97,exploring,0,5,5.28
3,34.06,27.97,exploring,0,5,5.28
3,35.06,28.97,exploring,1,5,5.28
3,36.06,29.97,exploring,1,5,5.28
3,37.05,30.97,exploring,1,5,5.28
3,38.06,31.97,exploring,1,5,5.28
3,39.05,32.97,exploring,1,5,5.28
3,40.06,33.97,exploring,1,5,5.28
3,41.06,34.97,exploring,1,5,5.28
3,42.06,35.97,exploring,1,5,5.28
3,43.05,36.97,exploring,1,5,5.28
3,44.06,37.97,exploring,1,5,5.28
3,45.05,38.97,exploring,1,5,5.28
3,46.06,39.97,exploring,1,5,5.28
3,47.05,40.97,exploring,1,5,5.28
3,48.06,41.97,exploring,1,5,5.28
3,49.05,42.97,exploring,1,5,5.28
3,50.05,43.97,exploring,1,5,5.28
3,51.06,44.97,exploring,1,5,5.28
3,52.06,45.97,exploring,1,5,5.28
3,53.05,46.97,exploring,1,5,5.28
3,54.05,47.97,exploring,1,5,5.28
3,55.06,48.97,exploring,1,5,5.28
3,56.06,49.97,exploring,1,5,5.28
3,57.05,50.97,exploring,1,5,5.28
3,58.06,51.97,exploring,1,5,5.28
3,59.05,52.97,exploring,1,5,5.28
3,60.06,53.97,exploring,1,5,5.28
3,61.05,54.97,exploring,1,5,5.28
3,62.05,55.97,exploring,1,5,5.28
3,63.05,56.97,exploring,1,5,5.28
3,64.06,57.97,exploring,1,5,5.28
3,65.06,58.97,exploring,1,5,5.28
3,66.06,59.97,exploring,1,5,5.28
3,67.06,60.97,exploring,1,5,5.28
3,68.05,61.97,exploring,1,5,5.28
3,69.05,62.97,exploring,1,5,5.28
3,70.05,63.97,exploring,1,5,5.28
3,71.05,64.97,exploring,1,5,5.28
3,72.06,65.97,exploring,1,5,5.28
3,73.06,66.97,exploring,1,5,5.28
3,74.05,67.97,exploring,1,5,5.28
3,75.05,68.97,exploring,1,5,5.28
3,76.06,69.97,exploring,1,5,5.28
3,77.06,70.97,exploring,1,5,5.28
3,78.05,71.97,exploring,1,5,5.28
3,79.05,72.97,exploring,1,5,5.28
3,80.05,73.97,exploring,1,5,5.28
3,81.05,74.97,exploring,1,5,5.28
3,82.05,75.97,exploring,1,5,5.28
3,83.05,76.97,exploring,1,5,5.28
3,84.06,77.97,exploring,1,5,5.28
3,85.05,78.97,exploring,1,5,5.28
3,86.05,79.97,exploring,1,5,5.28
3,87.05,80.97,exploring,1,5,5.28
3,88.05,81.97,exploring,1,5,5.28
3,89.05,82.97,exploring,1,5,5.28
3,90.05,83.97,exploring,1,5,5.28
3,91.05,84.97,exploring,1,5,5.28
3,92.05,85.97,exploring,1,5,5.28
3,93.05,86.97,exploring,1,5,5.28
3,94.05,87.97,exploring,1,5,5.28
3,95.05,88.97,exploring,1,5,5.28
3,96.05,89.97,exploring,1,5,5.28
3,97.05,90.97,exploring,1,5,5.28
3,98.05,91.97,exploring,1,5,5.28
3,99.05,92.97,exploring,1,5,5.28
3,100.05,93.97,exploring,1,5,5.28
3,101.05,94.97,exploring,1,5,5.28
3,102.05,95.97,exploring,1,5,5.28
3,103.05,96.97,exploring,1,5,5.28
3,104.05,97.97,exploring,1,5,5.28
3,105.05,98.97,exploring,1,5,5.28
3,106.05,99.97,exploring,1,5,5.28
3,107.05,100.97,exploring,1,5,5.28
3,108.05,101.97,exploring,1,5,5.28
3,109.05,102.97,exploring,1,5,5.28
3,110.05,103.97,exploring,1,5,5.28
3,111.06,104.97,exploring,1,5,5.28
3,112.05,105.97,exploring,1,5,5.28
3,113.05,106.97,exploring,1,5,5.28
3,114.05,107.97,exploring,1,5,5.28
3,115.05,108.97,exploring,1,5,5.28
3,116.05,109.97,exploring,1,5,5.28
3,117.05,110.97,exploring,1,5,5.28
3,118.05,111.97,exploring,1,5,5.28
3,119.05,112.97,exploring,1,5,5.28
3,120.05,113.97,exploring,1,5,5.28
3,121.05,114.97,exploring,1,5,5.28
3,122.05,115.97,exploring,1,5,5.28
3,123.05,116.97,exploring,1,5,5.28
3,124.05,117.97,exploring,1,5,5.28
3,125.05,118.97,exploring,1,5,5.28
3,126.05,119.97,exploring,1,5,5.28
3,127.05,120.97,exploring,1,5,5.28
3,128.05,121.97,exploring,1,5,5.28
3,129.05,122.97,exploring,1,5,5.28
3,130.05,123.97,exploring,1,5,5.28
3,131.05,124.97,exploring,1,5,5.28
3,132.05,125.97,exploring,1,5,5.28
3,133.05,126.97,exploring,1,5,5.28
3,134.05,127.97,exploring,1,5,5.28
3,135.05,128.97,exploring,1,5,5.28
3,136.05,129.97,exploring,1,5,5.28
3,137.05,130.97,exploring,1,5,5.28
3,138.05,131.97,exploring,1,5,5.28
3,139.05,132.97,exploring,1,5,5.28
3,140.05,133.97,exploring,1,5,5.28
3,141.05,134.97,exploring,1,5,5.28
3,142.05,135.97,exploring,1,5,5.28
3,143.05,136.97,exploring,1,5,5.28
3,144.05,137.97,exploring,1,5,5.28
3,145.05,138.97,exploring,1,5,5.28
3,146.05,139.97,exploring,1,5,5.28
3,147.06,140.97,exploring,1,5,5.28
3,148.05,141.97,exploring,1,5,5.28
3,149.05,142.97,exploring,1,5,5.28
3,150.05,143.97,exploring,1,5,5.28
3,151.05,144.97,exploring,1,5,5.28
3,152.05,145.97,exploring,1,5,5.28
3,153.05,146.97,exploring,1,5,5.28
3,154.05,147.97,exploring,1,5,5.28
3,155.05,148.97,exploring,1,5,5.28
3,156.05,149.97,exploring,1,5,5.28
3,157.05,150.97,exploring,1,5,5.28
3,158.05,151.97,exploring,1,5,5.28
3,159.05,152.97,exploring,1,5,5.28
3,160.05,153.97,exploring,1,5,5.28
3,161.05,154.97,exploring,1,5,5.28
3,162.05,155.97,exploring,1,5,5.28
3,163.05,156.97,exploring,1,5,5.28
3,164.05,157.97,exploring,1,5,5.28
3,165.05,158.97,exploring,1,5,5.28
3,166.05,159.97,exploring,1,5,5.28
3,167.05,160.97,exploring,1,5,5.28
3,168.05,161.97,exploring,1,5,5.28
3,169.05,162.97,exploring,1,5,5.28
3,170.05,163.97,exploring,1,5,5.28
3,171.05,164.97,exploring,1,5,5.28
3,172.05,165.97,exploring,1,5,5.28
3,173.05,166.97,exploring,1,5,5.28
3,174.05,167.97,exploring,1,5,5.28
3,175.05,168.97,exploring,1,5,5.28
3,176.05,169.97,exploring,1,5,5.28
3,177.05,170.97,exploring,1,5,5.28
3,178.05,171.97,exploring,1,5,5.28
3,179.05,172.97,exploring,1,5,5.28
3,180.05,173.97,exploring,1,5,5.28
3,181.05,174.97,exploring,1,5,5.28
3,182.05,175.97,exploring,1,5,5.28
3,183.05,176.97,exploring,1,5,5.28
3,184.05,177.97,exploring,1,5,5.28
3,185.05,178.97,exploring,1,5,5.28
3,186.05,179.97,exploring,1,5,5.28
3,187.05,180.97,exploring,1,5,5.28
3,188.05,181.97,exploring,1,5,5.28
3,189.05,182.97,exploring,1,5,5.28
3,190.05,183.97,exploring,1,5,5.28
3,191.05,184.97,exploring,1,5,5.28
3,192.05,185.97,exploring,1,5,5.28
3,193.05,186.97,exploring,1,5,5.28
3,194.05,187.97,exploring,1,5,5.28
3,195.05,188.97,exploring,1,5,5.28
3,196.05,189.97,exploring,1,5,5.28
3,197.05,190.97,exploring,1,5,5.28
3,198.05,191.97,exploring,1,5,5.28
3,199.05,192.97,exploring,1,5,5.28
3,200.05,193.97,exploring,1,5,5.28
3,201.05,194.97,exploring,1,5,5.28
3,202.05,195.97,exploring,1,5,5.28
3,203.05,196.97,exploring,1,5,5.28
3,204.05,197.97,exploring,1,5,5.28
3,205.05,198.97,exploring,1,5,5.28
3,206.05,199.97,exploring,1,5,5.28
3,207.05,200.97,exploring,1,5,5.28
3,208.05,201.97,exploring,1,5,5.28
