1776534031,23.9,0.2
1776534033,22.7,0.2
1776534035,21.9,0.2
1776534038,21.1,0.2
1776534040,20.5,0.2
1776534042,20.0,0.2
1776534044,19.6,0.2
1776534046,18.7,0.2
1776534048,18.4,0.2
1776534050,18.2,0.2
1776534052,18.0,0.2
1776534054,17.7,0.2
1776534056,17.5,0.2
1776534058,17.4,0.2
1776534060,17.2,0.2
1776534062,17.1,0.2
1776534064,17.0,0.2
1776534066,16.8,0.2
1776534068,16.7,0.2
1776534070,16.6,0.2
1776534072,16.5,0.2
1776534074,16.4,0.2
1776534076,16.4,0.2
1776534078,16.2,0.2
1776534080,16.2,0.2
1776534082,16.2,0.2
1776534084,16.1,0.2
1776534086,16.0,0.2
1776534088,15.9,0.2
1776534090,15.9,0.2
